setting,removed_feature,n_features,accuracy,precision,recall,f1,delta_accuracy_vs_baseline,delta_precision_vs_baseline,delta_recall_vs_baseline,delta_f1_vs_baseline
drop_uuid16_len_ratio,uuid16_len_ratio,25,0.992006579134582,0.9975858169535912,0.9920100318489008,0.994790111412605,-0.005605923497640997,-0.00023816578604785033,-0.0070652033187960095,-0.0036591055251252724
drop_length,length,25,0.9930822334909821,0.9979295373612567,0.9930679628170557,0.9954928146454787,-0.0045302691412408835,0.00010555462161765394,-0.006007272350641135,-0.002956402292251581
drop_is_broadcast,is_broadcast,25,0.993449321882452,0.9979934377984296,0.9934822574619274,0.995732738165856,-0.004163180749770956,0.00016945505879062406,-0.005592977705769386,-0.002716478771874309
drop_is_ADV_SCAN_IND,is_ADV_SCAN_IND,25,0.9945164392995157,0.9974461618295711,0.9954205645504348,0.9964323337573061,-0.0030960633327072884,-0.0003778209100678831,-0.0036546706172619903,-0.002016883180424145
drop_is_adv_channel,is_adv_channel,25,0.9945335131781887,0.9974609693537148,0.9954279626690933,0.9964434290453912,-0.0030789894540342866,-0.00036301338592426013,-0.0036472724986035265,-0.0020057878923390726
drop_is_SCAN_REQ,is_SCAN_REQ,25,0.9945392044710797,0.9974683638142824,0.9954279626690933,0.9964471187225179,-0.003073298161143323,-0.00035561892535662665,-0.0036472724986035265,-0.0020020982152123556
drop_has_company_id,has_company_id,25,0.9945619696426438,0.9975053192672385,0.9954205645504348,0.9964618515014451,-0.0030505329895792466,-0.0003186634724005044,-0.0036546706172619903,-0.0019873654362851934
drop_is_ADV_IND,is_ADV_IND,25,0.9946103456322173,0.997560803822643,0.9954279626690933,0.9964932419922237,-0.003002157000005723,-0.0002631789169960097,-0.0036472724986035265,-0.001955974945506589
drop_delta_start_start,delta_start_start,25,0.9946444933895633,0.9976051811128123,0.9954279626690933,0.9965153826783784,-0.0029680092426597193,-0.00021880162682674786,-0.0036472724986035265,-0.0019338342593518965
drop_delta_end_start,delta_end_start,25,0.9947412453687104,0.9977309382125576,0.9954279626690933,0.9965781199657812,-0.002871257263512561,-9.304452708136512e-05,-0.0036472724986035265,-0.0018710969719490933
drop_is_ADV_NONCONN_IND,is_ADV_NONCONN_IND,25,0.995276226900465,0.9984453670825959,0.9954094673724472,0.9969251059541804,-0.0023362757317579863,0.0006213843429568877,-0.0036657677952496304,-0.0015241109835498756
drop_time_start_end,time_start_end,25,0.9967445804663445,0.9974057553797316,0.9983650157764881,0.997885155045495,-0.0008679221658784986,-0.0004182273599073749,-0.000710219391208744,-0.0005640618922352347
drop_has_uuid128,has_uuid128,25,0.9968783258492832,0.9975716672334008,0.9983724138951464,0.9979718799397295,-0.0007341767829398549,-0.00025231550623816545,-0.0007028212725503913,-0.000477336998000788
drop_time_to_next,time_to_next,25,0.9969380844246387,0.9971859801245998,0.9988384953706273,0.9980115536862024,-0.000674418207584293,-0.0006380026150392126,-0.00023673979706950732,-0.00043766325152783114
drop_packet_send_freq,packet_send_freq,25,0.997091749332696,0.9971828697806479,0.9990419436337339,0.9981115410342547,-0.0005207532995270547,-0.0006411129589911635,-3.329153396292028e-05,-0.0003376759034755539
drop_ad_type_len_ratio,ad_type_len_ratio,25,0.9971799643725066,0.9972639663257394,0.9990752351676968,0.9981687790690154,-0.0004325382597164529,-0.0005600164138995778,0.0,-0.00028043786871490006
drop_has_uuid16,has_uuid16,25,0.9972084208369615,0.9973779258285385,0.9989975549217834,0.9981870833849241,-0.0004040817952615239,-0.00044605691110055634,-7.768024591336964e-05,-0.00026213355280613193
drop_service_data_len_ratio,service_data_len_ratio,25,0.997222649069189,0.9973522601801349,0.9990419436337339,0.9981963868602348,-0.00038985356303400387,-0.00047172255950411746,-3.329153396292028e-05,-0.0002528300774954362
drop_data_len_ratio,data_len_ratio,25,0.9972397229478621,0.9977861306072063,0.9986276489888621,0.9982067124417181,-0.00037277968436089104,-3.785213243268082e-05,-0.0004475861788346691,-0.00024250449601215252
drop_is_39,is_39,25,0.9972994815232177,0.9974590605910638,0.9990345455150755,0.9982461814250468,-0.0003130211090053292,-0.00036492214857519745,-4.0689652621273e-05,-0.0002030355126834138
drop_len_uuid16,len_uuid16,25,0.9973051728161086,0.9975031764323494,0.9989975549217834,0.9982498064067805,-0.0003073298161143656,-0.0003208063072895895,-7.768024591336964e-05,-0.0001994105309497396
drop_len_ad_type,len_ad_type,25,0.9973137097554452,0.9975142294665381,0.9989975549217834,0.9982553411695129,-0.0002987928767778092,-0.00030975327310089895,-7.768024591336964e-05,-0.0001938757682173886
drop_len_data,len_data,25,0.9973137097554452,0.9975142294665381,0.9989975549217834,0.9982553411695129,-0.0002987928767778092,-0.00030975327310089895,-7.768024591336964e-05,-0.0001938757682173886
drop_len_service_data,len_service_data,25,0.9973307836341182,0.9975326608479816,0.9990012539811126,0.9982664172870355,-0.0002817189981048074,-0.0002913218916573701,-7.398118658419328e-05,-0.0001827996506947871
drop_is_38,is_38,25,0.9974246899668198,0.9976138235706951,0.9990419436337339,0.9983273728664763,-0.00018781266540324193,-0.00021015916894395748,-3.329153396292028e-05,-0.00012184407125392926
drop_is_37,is_37,25,0.9974275356132652,0.9976175085418783,0.9990419436337339,0.998329217985303,-0.00018496701895776013,-0.00020647419776076426,-3.329153396292028e-05,-0.00011999895242720271
baseline_all_features,,26,0.997612502632223,0.997823982739639,0.9990752351676968,0.9984492169377303,0.0,0.0,0.0,0.0
