dataset,device_A,device_B,correlation
apple_isolated_group1_6h_labeled,AirPods,AirPods,1.0
apple_isolated_group1_6h_labeled,AirPods,AirTag,0.415
apple_isolated_group1_6h_labeled,AirPods,iPad,0.7211
apple_isolated_group1_6h_labeled,AirTag,AirPods,0.415
apple_isolated_group1_6h_labeled,AirTag,AirTag,1.0
apple_isolated_group1_6h_labeled,AirTag,iPad,0.5615
apple_isolated_group1_6h_labeled,iPad,AirPods,0.7211
apple_isolated_group1_6h_labeled,iPad,AirTag,0.5615
apple_isolated_group1_6h_labeled,iPad,iPad,1.0
apple_apartment_group1_6h_1_labeled,AirPods,AirPods,1.0
apple_apartment_group1_6h_1_labeled,AirPods,AirTag,0.1701
apple_apartment_group1_6h_1_labeled,AirPods,empty,0.3752
apple_apartment_group1_6h_1_labeled,AirPods,iPad,0.7722
apple_apartment_group1_6h_1_labeled,AirTag,AirPods,0.1701
apple_apartment_group1_6h_1_labeled,AirTag,AirTag,1.0
apple_apartment_group1_6h_1_labeled,AirTag,empty,0.1288
apple_apartment_group1_6h_1_labeled,AirTag,iPad,0.2165
apple_apartment_group1_6h_1_labeled,empty,AirPods,0.3752
apple_apartment_group1_6h_1_labeled,empty,AirTag,0.1288
apple_apartment_group1_6h_1_labeled,empty,empty,1.0
apple_apartment_group1_6h_1_labeled,empty,iPad,0.4246
apple_apartment_group1_6h_1_labeled,iPad,AirPods,0.7722
apple_apartment_group1_6h_1_labeled,iPad,AirTag,0.2165
apple_apartment_group1_6h_1_labeled,iPad,empty,0.4246
apple_apartment_group1_6h_1_labeled,iPad,iPad,1.0
apple_apartment_group1_6h_2_labeled,AirPods,AirPods,1.0
apple_apartment_group1_6h_2_labeled,AirPods,AirTag,0.1477
apple_apartment_group1_6h_2_labeled,AirPods,empty,0.3061
apple_apartment_group1_6h_2_labeled,AirPods,iPad,0.7726
apple_apartment_group1_6h_2_labeled,AirTag,AirPods,0.1477
apple_apartment_group1_6h_2_labeled,AirTag,AirTag,1.0
apple_apartment_group1_6h_2_labeled,AirTag,empty,0.0568
apple_apartment_group1_6h_2_labeled,AirTag,iPad,0.2125
apple_apartment_group1_6h_2_labeled,empty,AirPods,0.3061
apple_apartment_group1_6h_2_labeled,empty,AirTag,0.0568
apple_apartment_group1_6h_2_labeled,empty,empty,1.0
apple_apartment_group1_6h_2_labeled,empty,iPad,0.4179
apple_apartment_group1_6h_2_labeled,iPad,AirPods,0.7726
apple_apartment_group1_6h_2_labeled,iPad,AirTag,0.2125
apple_apartment_group1_6h_2_labeled,iPad,empty,0.4179
apple_apartment_group1_6h_2_labeled,iPad,iPad,1.0
apple_apartment_group1_6h_3_labeled,AirPods,AirPods,1.0
apple_apartment_group1_6h_3_labeled,AirPods,AirTag,0.0506
apple_apartment_group1_6h_3_labeled,AirPods,empty,0.2416
apple_apartment_group1_6h_3_labeled,AirPods,iPad,0.3642
apple_apartment_group1_6h_3_labeled,AirTag,AirPods,0.0506
apple_apartment_group1_6h_3_labeled,AirTag,AirTag,1.0
apple_apartment_group1_6h_3_labeled,AirTag,empty,0.1021
apple_apartment_group1_6h_3_labeled,AirTag,iPad,0.1995
apple_apartment_group1_6h_3_labeled,empty,AirPods,0.2416
apple_apartment_group1_6h_3_labeled,empty,AirTag,0.1021
apple_apartment_group1_6h_3_labeled,empty,empty,1.0
apple_apartment_group1_6h_3_labeled,empty,iPad,0.5774
apple_apartment_group1_6h_3_labeled,iPad,AirPods,0.3642
apple_apartment_group1_6h_3_labeled,iPad,AirTag,0.1995
apple_apartment_group1_6h_3_labeled,iPad,empty,0.5774
apple_apartment_group1_6h_3_labeled,iPad,iPad,1.0
apple_uni_group1_2h_labeled,AirPods,AirPods,1.0
apple_uni_group1_2h_labeled,AirPods,AirTag,0.069
apple_uni_group1_2h_labeled,AirPods,empty,-0.3159
apple_uni_group1_2h_labeled,AirPods,iPad,0.3463
apple_uni_group1_2h_labeled,AirTag,AirPods,0.069
apple_uni_group1_2h_labeled,AirTag,AirTag,1.0
apple_uni_group1_2h_labeled,AirTag,empty,-0.0897
apple_uni_group1_2h_labeled,AirTag,iPad,0.1125
apple_uni_group1_2h_labeled,empty,AirPods,-0.3159
apple_uni_group1_2h_labeled,empty,AirTag,-0.0897
apple_uni_group1_2h_labeled,empty,empty,1.0
apple_uni_group1_2h_labeled,empty,iPad,-0.4419
apple_uni_group1_2h_labeled,iPad,AirPods,0.3463
apple_uni_group1_2h_labeled,iPad,AirTag,0.1125
apple_uni_group1_2h_labeled,iPad,empty,-0.4419
apple_uni_group1_2h_labeled,iPad,iPad,1.0
