dataset,device,rank,data,count
apple_isolated_group1_6h_labeled,AirPods,1,0719010e2001998f010005e2541d590f85a82e20b03edff72a336d,3440
apple_isolated_group1_6h_labeled,AirPods,2,0719010e2001998f010005a356f38d5d3a9c732b690f8421ee0ee1,3339
apple_isolated_group1_6h_labeled,AirPods,3,0719010e2001998f01000527ee3fd739e283ad7d76e15131d3875e,3164
apple_isolated_group1_6h_labeled,AirPods,4,0719010e2001998f010005def0f7656bd61b3dcb83cd351b1ab436,3125
apple_isolated_group1_6h_labeled,AirPods,5,0719010e2001998f01000504858eed07d2c021f2e7328031f93e10,2674
apple_isolated_group1_6h_labeled,AirPods,6,0719010e2001998f0200056bf278dab8bf6b45681892e59300d1d9,2559
apple_isolated_group1_6h_labeled,AirPods,7,0719010e2001998f01000504ba49be5f7914a3f9b2e716c6738cfc,2399
apple_isolated_group1_6h_labeled,AirPods,8,0719010e2001998f02000514af5b180a98b40895c17211ce29ca59,2332
apple_isolated_group1_6h_labeled,AirPods,9,0719010e2001998f0200058abeb8b7a52aadf0a6ec29d865bc9f2e,2285
apple_isolated_group1_6h_labeled,AirPods,10,0719010e2001998f010005104689564a02fce2f4fd35226ddb5ef7,2220
apple_isolated_group1_6h_labeled,iPad,1,10051118925500,9963
apple_isolated_group1_6h_labeled,iPad,2,100513188bbc4a,9960
apple_isolated_group1_6h_labeled,iPad,3,10051518846ff6,9600
apple_isolated_group1_6h_labeled,iPad,4,10051818b230ba,8886
apple_isolated_group1_6h_labeled,iPad,5,10051218522793,8478
apple_isolated_group1_6h_labeled,iPad,6,10051718486838,8261
apple_isolated_group1_6h_labeled,iPad,7,100517189b08f3,8214
apple_isolated_group1_6h_labeled,iPad,8,10051f1818c242,8077
apple_isolated_group1_6h_labeled,iPad,9,10051b1858ec2b,7752
apple_isolated_group1_6h_labeled,iPad,10,10051f183e9146,7667
apple_isolated_group1_6h_labeled,AirTag,1,12025000,1091
apple_isolated_group1_6h_labeled,AirTag,2,121950827bb8d1b8133315af8afdffc2b5c980cf21475798a002be,1071
apple_isolated_group1_6h_labeled,AirTag,3,1219501fcbbb85b85560374bf48f212ff8e0a37e3654f5a65201a2,1048
apple_isolated_group1_6h_labeled,AirTag,4,121950fc27bbbbf6c2a28090d0a8ffbfcd46ed01472567af350267,1018
apple_isolated_group1_6h_labeled,AirTag,5,121950633971c87b3ab1bcb33172790dbf4cbd736d0129d4220053,1008
apple_isolated_group1_6h_labeled,AirTag,6,1219504c8175c87e2d1affc288a1a483ec78b6db1897374ca503e4,1008
apple_isolated_group1_6h_labeled,AirTag,7,121950c681fd2638ec5016a6c7b8ff0ce5ade7d572b027bc2f01b5,1003
apple_isolated_group1_6h_labeled,AirTag,8,12195029f93a86353f5df51756a787915dd1a815765f82de8f02f9,999
apple_isolated_group1_6h_labeled,AirTag,9,1219507a42ff3f90408769f5c0333323d4111210203ddf16ac01e5,976
apple_isolated_group1_6h_labeled,AirTag,10,121950fba061848ecf3901739dba2d01bbc2d874a04902c15502b7,974
apple_apartment_group1_6h_1_labeled,AirPods,1,0719010e2021888f010004c42e476b4026d005c02b5454afe7b1e3,4467
apple_apartment_group1_6h_1_labeled,AirPods,2,0719010e2021888f0100043818e9ffc110db45fc879af8e55c23e6,4401
apple_apartment_group1_6h_1_labeled,AirPods,3,0719010e2021888f0100047cd65caa6e5880496cedff9ae7b35d0b,4350
apple_apartment_group1_6h_1_labeled,AirPods,4,0719010e2001678f010004f010c3e0904b873cea761d1583fb14ea,4250
apple_apartment_group1_6h_1_labeled,AirPods,5,0719010e2021888f010004cf94d841bf365ca40257b6f6dc851e29,4218
apple_apartment_group1_6h_1_labeled,AirPods,6,0719010e2021888f010004b34290270e8f32612d4ae9ad01167abf,4057
apple_apartment_group1_6h_1_labeled,AirPods,7,0719010e2021888f0100040924021dd4358c02647c362a55cffd17,4000
apple_apartment_group1_6h_1_labeled,AirPods,8,0719010e2021888f0100042a3c0ee9b67d58a860939c90940f78db,3840
apple_apartment_group1_6h_1_labeled,AirPods,9,0719010e2001778f01000421d5e6e9fd51521d69d7266f5b8c730d,3556
apple_apartment_group1_6h_1_labeled,AirPods,10,0719010e2021888f01000478aa15ff8bf7e5b6d5583068a14d748e,3085
apple_apartment_group1_6h_1_labeled,iPad,1,1006171d1e979468,13128
apple_apartment_group1_6h_1_labeled,iPad,2,1006111d537a8368,11182
apple_apartment_group1_6h_1_labeled,iPad,3,1006111d9ff0d778,11129
apple_apartment_group1_6h_1_labeled,iPad,4,10061c1d53ad5f48,10787
apple_apartment_group1_6h_1_labeled,iPad,5,10061c1d1a9b9e68,10785
apple_apartment_group1_6h_1_labeled,iPad,6,1006121d330b0638,10745
apple_apartment_group1_6h_1_labeled,iPad,7,10061e1d50ee2968,10558
apple_apartment_group1_6h_1_labeled,iPad,8,10061f1dc150bc68,9608
apple_apartment_group1_6h_1_labeled,iPad,9,1006111d746d2848,9596
apple_apartment_group1_6h_1_labeled,iPad,10,1006161d66934678,8326
apple_apartment_group1_6h_1_labeled,AirTag,1,121950eaac0af04aab3f1a10b251fb11ab62aacee5c994c19a0226,1763
apple_apartment_group1_6h_1_labeled,AirTag,2,121950eaac0af04aab3f1a10b251fb11ab62aacee5c994c19a0285,1606
apple_apartment_group1_6h_1_labeled,AirTag,3,121950eaac0af04aab3f1a10b251fb11ab62aacee5c994c19a02b1,1537
apple_apartment_group1_6h_1_labeled,AirTag,4,121950eaac0af04aab3f1a10b251fb11ab62aacee5c994c19a0208,1480
apple_apartment_group1_6h_1_labeled,AirTag,5,121950eaac0af04aab3f1a10b251fb11ab62aacee5c994c19a0200,1284
apple_apartment_group1_6h_1_labeled,AirTag,6,12195018261c7fa6b7e57ccf32a278e362a473b33f3973dcf30321,1249
apple_apartment_group1_6h_1_labeled,AirTag,7,121950eaac0af04aab3f1a10b251fb11ab62aacee5c994c19a022f,1161
apple_apartment_group1_6h_1_labeled,AirTag,8,121950eaac0af04aab3f1a10b251fb11ab62aacee5c994c19a0283,1146
apple_apartment_group1_6h_1_labeled,AirTag,9,12195068f4617cda4b3526e2de4d26e774943c4abd67fdc5980095,1059
apple_apartment_group1_6h_1_labeled,AirTag,10,12195016c393762b1dd3f1e5eba55af370fd6593a77351ef660060,1042
apple_apartment_group1_6h_2_labeled,AirPods,1,0719010e2021778f0100059a606d14a9d1c586c79828a4bafe5505,3013
apple_apartment_group1_6h_2_labeled,AirPods,2,0719010e2001998f01000553a1c28fc1a3105623d1ef2cfe66eb59,2889
apple_apartment_group1_6h_2_labeled,AirPods,3,0719010e2021888f010005bd066932631d11356e5563fcbe65f3b5,2857
apple_apartment_group1_6h_2_labeled,AirPods,4,0719010e2001558f01000588a8f39bdd43b6beb02a33ad7a346a10,2849
