setting,removed_feature,n_features,accuracy,precision,recall,f1,delta_accuracy_vs_baseline,delta_precision_vs_baseline,delta_recall_vs_baseline,delta_f1_vs_baseline
drop_time_to_next,time_to_next,16,0.9814919155184483,0.9780710814425032,0.9983243261238667,0.9880939305406059,-0.011547633275851288,-0.01563715314045999,0.0010579309681547633,-0.007390204854098359
drop_delta_end_start,delta_end_start,16,0.9880852783326788,0.9907655996459654,0.9937744831489352,0.9922677604206102,-0.00495427046162078,-0.0029426349369977567,-0.0034919120067766762,-0.003216374974094105
drop_uuid16_len_ratio,uuid16_len_ratio,16,0.989183697860643,0.9939547813194959,0.9919730412556087,0.9929629225069843,-0.0038558509336565905,0.00024654673653268233,-0.005293353900103215,-0.0025212128877200035
drop_time_start_end,time_start_end,16,0.9904699300540104,0.9936872235617816,0.9939261445814329,0.9938066697118594,-0.002569618740289159,-2.101102118157172e-05,-0.0033402505742790023,-0.0016774656828448808
drop_len_ad_type,len_ad_type,16,0.9906235949620675,0.9941745129389471,0.9936339188944251,0.9939041424081135,-0.0024159538322320318,0.00046627835598389566,-0.003632476261286821,-0.001579992986590728
drop_len_data,len_data,16,0.9906235949620675,0.9941745129389471,0.9936339188944251,0.9939041424081135,-0.0024159538322320318,0.00046627835598389566,-0.003632476261286821,-0.001579992986590728
drop_length,length,16,0.9907488034056696,0.9937990400899268,0.9941776806158193,0.9939883242939378,-0.0022907453886299445,9.080550696360934e-05,-0.0030887145398925675,-0.0014958111007664643
drop_len_service_data,len_service_data,16,0.9910134485251014,0.9942067159182133,0.9941110975478936,0.9941589044339058,-0.002026100269198139,0.0004984813352501005,-0.003155297607818297,-0.0013252309607985069
drop_len_uuid16,len_uuid16,16,0.9925700171307916,0.9940323735431537,0.9963231350267627,0.9951764360309698,-0.0004695316635079383,0.0003241389601904565,-0.000943260128949186,-0.0003076993637344261
drop_has_company_id,has_company_id,16,0.9925927823023556,0.9929955071076084,0.997406959410222,0.9951963445713895,-0.0004467664919439729,-0.0007127274753547796,0.00014056425451003385,-0.0002877908233147597
drop_has_uuid16,has_uuid16,16,0.9927436015639672,0.993705821838254,0.9968816929854738,0.995291223949389,-0.0002959472303323274,-2.4127447092459064e-06,-0.0003847021702381159,-0.00019291144531530247
baseline_no_is_features,,17,0.9930395487942996,0.9937082345829632,0.9972663951557119,0.9954841353947043,0.0,0.0,0.0,0.0
drop_has_uuid128,has_uuid128,16,0.9932529722777124,0.9941032430319435,0.9971443261978479,0.9956214624057026,0.00021342348341280015,0.0003950084489803274,-0.00012206895786404104,0.00013732701099833378
drop_data_len_ratio,data_len_ratio,16,0.9933127308530679,0.9935867919593622,0.9977472728685095,0.9956626861815028,0.000273182058768362,-0.00012144262360103131,0.0004808777127975894,0.00017855078679851477
drop_delta_start_start,delta_start_start,16,0.9935916042047271,0.9942843867884522,0.9974032603508928,0.9958413815772466,0.0005520554104275766,0.0005761522054890111,0.0001368651951808575,0.00035724618254229235
drop_ad_type_len_ratio,ad_type_len_ratio,16,0.9936855105374288,0.9932992839322643,0.9985277743869734,0.9959066668388363,0.000645961743129253,-0.0004089506506989027,0.0012613792312614613,0.0004225314441320682
drop_service_data_len_ratio,service_data_len_ratio,16,0.9936912018303198,0.9940483210000295,0.9977731662838141,0.9959072607815157,0.0006516530360202166,0.0003400864170662876,0.000506771128102157,0.0004231253868114404
drop_packet_send_freq,packet_send_freq,16,0.993856249324159,0.993984070496526,0.9980542947928341,0.996015024410052,0.0008167005298593821,0.00027583591356283854,0.0007878996371222247,0.0005308890153477019
