dataset,labelled_device,delta_start_start_count,delta_start_start_mean,delta_start_start_std,delta_start_start_min,delta_start_start_<lambda_0>,delta_start_start_median,delta_start_start_<lambda_1>,delta_start_start_max,delta_start_start_nunique,delta_end_start_count,delta_end_start_mean,delta_end_start_std,delta_end_start_min,delta_end_start_<lambda_0>,delta_end_start_median,delta_end_start_<lambda_1>,delta_end_start_max,delta_end_start_nunique,time_start_end_count,time_start_end_mean,time_start_end_std,time_start_end_min,time_start_end_<lambda_0>,time_start_end_median,time_start_end_<lambda_1>,time_start_end_max,time_start_end_nunique
apple_isolated_group1_6h_labeled,AirPods,302327,45773.206,69166.465,0,878.0,878.0,87114.0,378245,44353,302327,45426.196,69183.923,0,502.0,502.0,86843.0,377869,44484,302327,376.0,0.0,376,376.0,376.0,376.0,376,1
apple_isolated_group1_6h_labeled,AirTag,27098,28767.549,46712.192,325,874.0,874.0,43507.0,314909,10302,27098,28416.447,46717.136,132,498.0,498.0,43174.5,314533,10300,27098,363.258,48.195,128,376.0,376.0,376.0,376,3
apple_isolated_group1_6h_labeled,iPad,178859,38156.076,55971.287,259,630.0,630.0,70812.0,303304,30313,178859,37847.992,55927.745,118,366.0,366.0,70436.0,302928,30286,178859,262.611,13.695,128,264.0,264.0,264.0,272,3
apple_apartment_group1_6h_1_labeled,AirPods,255326,28145.074,44131.194,322,878.0,878.0,43732.75,378245,74607,255326,27804.898,44153.694,69,502.0,502.0,43439.75,377869,74681,255326,375.999,0.364,192,376.0,376.0,376.0,376,2
apple_apartment_group1_6h_1_labeled,AirTag,30120,17647.545,30860.071,244,874.0,874.0,24402.75,259806,10859,30120,17297.957,30873.327,96,498.0,498.0,24102.75,259534,10838,30120,369.457,35.708,128,376.0,376.0,376.0,376,3
apple_apartment_group1_6h_1_labeled,empty,362367,26100.405,39431.936,0,937.0,938.0,41916.0,318715,87595,362367,25790.81,39420.087,0,641.0,642.0,41601.0,318339,87659,362367,292.799,51.588,104,296.0,296.0,304.0,2080,127
apple_apartment_group1_6h_1_labeled,iPad,189822,22277.296,52993.729,213,638.0,638.0,32416.0,16530571,54859,189822,21981.971,52976.875,69,366.0,366.0,32097.75,16530299,54835,189822,270.494,14.754,112,272.0,272.0,272.0,352,5
apple_apartment_group1_6h_2_labeled,AirPods,284939,41990.933,64029.599,351,878.0,878.0,72039.5,289227,59487,284939,41642.583,64045.743,72,502.0,502.0,71757.0,288923,59443,284939,376.0,0.0,376,376.0,376.0,376.0,376,1
apple_apartment_group1_6h_2_labeled,AirTag,28802,25020.312,41814.832,318,874.0,874.0,34132.25,199652,10741,28802,24663.6,41822.767,76,498.0,498.0,33763.0,199380,10745,28802,370.756,33.531,128,376.0,376.0,376.0,376,3
apple_apartment_group1_6h_2_labeled,empty,87924,30464.929,45321.38,0,700.0,703.0,49924.75,236869,35976,87924,30139.764,45310.347,0,396.0,399.0,49578.0,236597,36001,87924,305.138,64.13,112,304.0,304.0,304.0,2032,82
apple_apartment_group1_6h_2_labeled,iPad,175395,34357.552,51706.927,259,638.0,638.0,59457.0,279414,40514,175395,34047.109,51669.451,70,366.0,366.0,59084.0,279142,40519,175395,270.39,15.23,128,272.0,272.0,272.0,352,4
apple_apartment_group1_6h_3_labeled,AirPods,248399,23589.235,36723.937,258,878.0,878.0,36753.0,204561,71451,248399,23239.209,36739.329,65,502.0,502.0,36431.5,204185,71307,248399,376.0,0.0,376,376.0,376.0,376.0,376,1
apple_apartment_group1_6h_3_labeled,AirTag,27072,16037.18,27499.784,230,874.0,874.0,21881.25,185544,9991,27072,15689.884,27504.055,78,498.0,498.0,21545.75,185168,9968,27072,359.96,55.058,128,376.0,376.0,376.0,376,3
apple_apartment_group1_6h_3_labeled,empty,509400,22532.397,35393.366,250,556.0,702.0,34806.25,260832,95229,509400,22198.206,35390.245,68,180.0,398.0,34499.0,260560,95006,509400,330.049,77.213,104,304.0,376.0,376.0,2104,141
apple_apartment_group1_6h_3_labeled,iPad,188049,18578.876,31386.622,0,630.0,638.0,26430.0,278789,52144,188049,18281.402,31355.764,0,366.0,366.0,26074.0,278517,52038,188049,264.546,21.139,128,264.0,264.0,272.0,352,5
apple_uni_group1_2h_labeled,AirPods,67983,2735.605,3630.571,180,878.0,878.0,3086.0,60872,11392,67983,2389.966,3642.448,65,502.0,502.0,2760.0,60592,11258,67983,376.0,0.0,376,376.0,376.0,376.0,376,1
apple_uni_group1_2h_labeled,AirTag,7031,2368.704,3210.791,262,874.0,874.0,2478.0,31486,2516,7031,2029.083,3215.69,68,498.0,498.0,2148.5,31126,2503,7031,354.821,61.708,128,376.0,376.0,376.0,376,3
apple_uni_group1_2h_labeled,empty,2406592,2692.244,174639.925,0,648.0,938.0,3062.0,265607574,26450,2406592,2380.904,174639.811,0,368.0,690.0,2735.0,265607294,26268,2406592,301.057,88.214,88,256.0,288.0,376.0,2120,255
apple_uni_group1_2h_labeled,iPad,49208,2391.274,3625.605,204,630.0,630.0,2481.25,53187,9440,49208,2106.416,3605.427,66,366.0,366.0,2152.0,52811,9394,49208,259.86,23.555,128,264.0,264.0,264.0,352,5
